wvg_height = 0.25 , mode = yO, SUBSRATE = Truem hx_min = 0.125, hy_min = 0.2
hx = 0.125, hy = 0.325, a = 0.318, w = 0.65, gamma = 0.08219, freqs = 187.4815 , 228.2266 
hx = 0.125, hy = 0.35, a = 0.318, w = 0.65, gamma = 0.08284, freqs = 187.9657 , 231.0235 
hx = 0.125, hy = 0.325, a = 0.319, w = 0.65, gamma = 0.0834, freqs = 187.0662 , 227.6199 
hx = 0.125, hy = 0.35, a = 0.319, w = 0.65, gamma = 0.08419, freqs = 187.5493 , 230.3824 
hx = 0.125, hy = 0.325, a = 0.32, w = 0.65, gamma = 0.08456, freqs = 186.679 , 227.1417 
hx = 0.125, hy = 0.35, a = 0.32, w = 0.65, gamma = 0.08548, freqs = 187.1633 , 229.8815 
hx = 0.125, hy = 0.375, a = 0.32, w = 0.65, gamma = 0.08558, freqs = 187.7096 , 232.5002 
hx = 0.125, hy = 0.325, a = 0.321, w = 0.65, gamma = 0.08561, freqs = 186.2678 , 226.5297 
hx = 0.15, hy = 0.325, a = 0.321, w = 0.65, gamma = 0.08604, freqs = 188.299 , 236.2027 
hx = 0.125, hy = 0.35, a = 0.321, w = 0.65, gamma = 0.08666, freqs = 186.7495 , 229.2251 
hx = 0.125, hy = 0.375, a = 0.321, w = 0.65, gamma = 0.0869, freqs = 187.2937 , 231.8057 
hx = 0.15, hy = 0.325, a = 0.322, w = 0.65, gamma = 0.08779, freqs = 187.8536 , 235.5645 
hx = 0.15, hy = 0.35, a = 0.322, w = 0.65, gamma = 0.08795, freqs = 188.4036 , 239.078 
hx = 0.125, hy = 0.375, a = 0.322, w = 0.65, gamma = 0.08814, freqs = 186.8745 , 231.0961 
hx = 0.15, hy = 0.3, a = 0.323, w = 0.65, gamma = 0.08832, freqs = 186.9324 , 231.5277 
hx = 0.15, hy = 0.325, a = 0.323, w = 0.65, gamma = 0.08942, freqs = 187.4136 , 234.936 
hx = 0.15, hy = 0.35, a = 0.323, w = 0.65, gamma = 0.08977, freqs = 187.9601 , 238.4051 
