wvg_height = 0.1 , mode = yO, SUBSRATE = True
hx = 0.05, hy = 0.05, a = 0.421, w = 0.65, gamma = 0.00337, freqs = 196.5851 , 199.3939 
hx = 0.075, hy = 0.05, a = 0.421, w = 0.65, gamma = 0.00378, freqs = 196.6287 , 201.2854 
hx = 0.075, hy = 0.075, a = 0.421, w = 0.65, gamma = 0.00386, freqs = 196.6455 , 202.2441 
hx = 0.05, hy = 0.05, a = 0.422, w = 0.65, gamma = 0.00511, freqs = 196.3241 , 199.1279 
hx = 0.075, hy = 0.05, a = 0.422, w = 0.65, gamma = 0.00645, freqs = 196.367 , 201.0097 
hx = 0.1, hy = 0.05, a = 0.422, w = 0.65, gamma = 0.00656, freqs = 196.4863 , 203.1897 
hx = 0.075, hy = 0.075, a = 0.422, w = 0.65, gamma = 0.00697, freqs = 196.3836 , 201.96 
hx = 0.075, hy = 0.1, a = 0.422, w = 0.65, gamma = 0.00726, freqs = 196.4077 , 202.8371 
hx = 0.075, hy = 0.125, a = 0.422, w = 0.65, gamma = 0.00746, freqs = 196.4435 , 203.9462 
hx = 0.075, hy = 0.05, a = 0.423, w = 0.65, gamma = 0.0081, freqs = 196.1039 , 200.7323 
hx = 0.1, hy = 0.05, a = 0.423, w = 0.65, gamma = 0.00908, freqs = 196.2232 , 202.9486 
hx = 0.1, hy = 0.075, a = 0.423, w = 0.65, gamma = 0.00967, freqs = 196.2517 , 204.2319 
hx = 0.1, hy = 0.1, a = 0.423, w = 0.65, gamma = 0.00992, freqs = 196.3064 , 205.6561 
hx = 0.075, hy = 0.125, a = 0.423, w = 0.65, gamma = 0.00995, freqs = 196.1799 , 203.6478 
hx = 0.1, hy = 0.125, a = 0.423, w = 0.65, gamma = 0.01001, freqs = 196.355 , 206.9822 
hx = 0.075, hy = 0.15, a = 0.423, w = 0.65, gamma = 0.01005, freqs = 196.2262 , 204.4476 
hx = 0.1, hy = 0.05, a = 0.425, w = 0.65, gamma = 0.01062, freqs = 196.0051 , 202.7479 
hx = 0.125, hy = 0.05, a = 0.425, w = 0.65, gamma = 0.01094, freqs = 196.1585 , 204.8415 
hx = 0.1, hy = 0.075, a = 0.425, w = 0.65, gamma = 0.0114, freqs = 196.0332 , 203.9712 
hx = 0.1, hy = 0.1, a = 0.425, w = 0.65, gamma = 0.01193, freqs = 196.074 , 205.1943 
hx = 0.1, hy = 0.125, a = 0.425, w = 0.65, gamma = 0.0123, freqs = 196.1369 , 206.7104 
hx = 0.125, hy = 0.05, a = 0.426, w = 0.65, gamma = 0.01286, freqs = 195.9034 , 204.5563 
hx = 0.1, hy = 0.075, a = 0.426, w = 0.65, gamma = 0.013, freqs = 195.7804 , 203.6883 
hx = 0.125, hy = 0.075, a = 0.426, w = 0.65, gamma = 0.01344, freqs = 195.9838 , 206.2513 
hx = 0.1, hy = 0.1, a = 0.426, w = 0.65, gamma = 0.01375, freqs = 195.8218 , 204.9075 
hx = 0.125, hy = 0.1, a = 0.426, w = 0.65, gamma = 0.01379, freqs = 196.0601 , 207.9456 
