wvg_height = 0.22 , mode = yO, SUBSRATE = True
hx = 0.125, hy = 0.2, a = 0.305, w = 0.65, gamma = 0.01481, freqs = 196.4286 , 227.0259 
hx = 0.125, hy = 0.2, a = 0.306, w = 0.65, gamma = 0.02269, freqs = 195.9794 , 226.4414 
hx = 0.125, hy = 0.2, a = 0.307, w = 0.65, gamma = 0.02831, freqs = 195.5318 , 225.8811 
hx = 0.125, hy = 0.2, a = 0.308, w = 0.65, gamma = 0.03282, freqs = 195.0866 , 225.3149 
hx = 0.125, hy = 0.2, a = 0.309, w = 0.65, gamma = 0.03673, freqs = 194.6336 , 224.7375 
hx = 0.125, hy = 0.2, a = 0.31, w = 0.65, gamma = 0.04, freqs = 194.2086 , 224.2791 
hx = 0.125, hy = 0.2, a = 0.311, w = 0.65, gamma = 0.04306, freqs = 193.7542 , 223.6912 
hx = 0.125, hy = 0.2, a = 0.312, w = 0.65, gamma = 0.04578, freqs = 193.3066 , 223.1111 
hx = 0.125, hy = 0.225, a = 0.312, w = 0.65, gamma = 0.04584, freqs = 193.5805 , 225.8928 
hx = 0.125, hy = 0.2, a = 0.313, w = 0.65, gamma = 0.04825, freqs = 192.856 , 222.522 
hx = 0.125, hy = 0.225, a = 0.313, w = 0.65, gamma = 0.04861, freqs = 193.1291 , 225.2862 
hx = 0.125, hy = 0.2, a = 0.314, w = 0.65, gamma = 0.05049, freqs = 192.411 , 221.9531 
hx = 0.125, hy = 0.225, a = 0.314, w = 0.65, gamma = 0.05111, freqs = 192.6808 , 224.6933 
hx = 0.125, hy = 0.25, a = 0.314, w = 0.65, gamma = 0.05121, freqs = 192.9842 , 227.5045 
hx = 0.125, hy = 0.2, a = 0.315, w = 0.65, gamma = 0.05155, freqs = 192.1844 , 221.6555 
hx = 0.125, hy = 0.225, a = 0.315, w = 0.65, gamma = 0.05231, freqs = 192.4551 , 224.4077 
hx = 0.125, hy = 0.25, a = 0.315, w = 0.65, gamma = 0.05251, freqs = 192.7584 , 227.1885 
hx = 0.125, hy = 0.2, a = 0.316, w = 0.65, gamma = 0.05348, freqs = 191.7419 , 221.0641 
hx = 0.125, hy = 0.225, a = 0.316, w = 0.65, gamma = 0.05448, freqs = 192.0107 , 223.8002 
hx = 0.125, hy = 0.25, a = 0.316, w = 0.65, gamma = 0.05494, freqs = 192.311 , 226.5541 
hx = 0.125, hy = 0.2, a = 0.317, w = 0.65, gamma = 0.05524, freqs = 191.2997 , 220.4746 
hx = 0.125, hy = 0.225, a = 0.317, w = 0.65, gamma = 0.05646, freqs = 191.5658 , 223.1816 
hx = 0.125, hy = 0.25, a = 0.317, w = 0.65, gamma = 0.05716, freqs = 191.8668 , 225.9335 
hx = 0.125, hy = 0.275, a = 0.317, w = 0.65, gamma = 0.05727, freqs = 192.2017 , 228.6567 
hx = 0.125, hy = 0.225, a = 0.318, w = 0.65, gamma = 0.05817, freqs = 191.164 , 222.6777 
hx = 0.125, hy = 0.25, a = 0.318, w = 0.65, gamma = 0.05906, freqs = 191.4627 , 225.3988 
hx = 0.125, hy = 0.275, a = 0.318, w = 0.65, gamma = 0.05938, freqs = 191.7972 , 228.1096 
hx = 0.125, hy = 0.225, a = 0.319, w = 0.65, gamma = 0.0598, freqs = 190.7517 , 222.1486 
hx = 0.125, hy = 0.25, a = 0.319, w = 0.65, gamma = 0.06088, freqs = 191.049 , 224.8516 
hx = 0.125, hy = 0.275, a = 0.319, w = 0.65, gamma = 0.06139, freqs = 191.3814 , 227.5304 
hx = 0.125, hy = 0.25, a = 0.32, w = 0.65, gamma = 0.06256, freqs = 190.6593 , 224.412 
hx = 0.125, hy = 0.275, a = 0.32, w = 0.65, gamma = 0.06323, freqs = 190.9911 , 227.0703 
hx = 0.125, hy = 0.3, a = 0.32, w = 0.65, gamma = 0.06338, freqs = 191.3651 , 229.8166 
hx = 0.125, hy = 0.25, a = 0.321, w = 0.65, gamma = 0.06412, freqs = 190.2449 , 223.831 
hx = 0.125, hy = 0.275, a = 0.321, w = 0.65, gamma = 0.06495, freqs = 190.5746 , 226.4321 
hx = 0.125, hy = 0.3, a = 0.321, w = 0.65, gamma = 0.06534, freqs = 190.9483 , 229.2111 
hx = 0.125, hy = 0.25, a = 0.322, w = 0.65, gamma = 0.06558, freqs = 189.8271 , 223.239 
hx = 0.125, hy = 0.275, a = 0.322, w = 0.65, gamma = 0.0666, freqs = 190.1571 , 225.8449 
hx = 0.125, hy = 0.3, a = 0.322, w = 0.65, gamma = 0.06719, freqs = 190.5274 , 228.5923 
hx = 0.125, hy = 0.275, a = 0.323, w = 0.65, gamma = 0.06812, freqs = 189.7432 , 225.2579 
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, gamma = 0.0689, freqs = 190.1108 , 227.987 
hx = 0.125, hy = 0.325, a = 0.323, w = 0.65, gamma = 0.06898, freqs = 190.5356 , 230.7059 
hx = 0.125, hy = 0.275, a = 0.324, w = 0.65, gamma = 0.06957, freqs = 189.3247 , 224.6707 
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, gamma = 0.07052, freqs = 189.6914 , 227.3766 
hx = 0.125, hy = 0.325, a = 0.324, w = 0.65, gamma = 0.07079, freqs = 190.1147 , 230.0675 
hx = 0.125, hy = 0.275, a = 0.325, w = 0.65, gamma = 0.07092, freqs = 188.9065 , 224.0812 
