wvg_height = 0.125 , mode = yO, SUBSRATE = True
hx = 0.125, hy = 0.15, a = 0.389, w = 0.65, gamma = 0.03037, freqs = 194.2973 , 212.2681 
hx = 0.125, hy = 0.175, a = 0.389, w = 0.65, gamma = 0.03095, freqs = 194.438 , 214.0133 
hx = 0.125, hy = 0.2, a = 0.389, w = 0.65, gamma = 0.03129, freqs = 194.6041 , 215.9554 
hx = 0.125, hy = 0.15, a = 0.39, w = 0.65, gamma = 0.03165, freqs = 194.0466 , 212.0052 
hx = 0.125, hy = 0.175, a = 0.39, w = 0.65, gamma = 0.03237, freqs = 194.1863 , 213.7394 
hx = 0.125, hy = 0.2, a = 0.39, w = 0.65, gamma = 0.03287, freqs = 194.3513 , 215.6614 
hx = 0.125, hy = 0.175, a = 0.391, w = 0.65, gamma = 0.03379, freqs = 193.906 , 213.3858 
hx = 0.125, hy = 0.2, a = 0.391, w = 0.65, gamma = 0.03443, freqs = 194.0653 , 215.2273 
hx = 0.125, hy = 0.225, a = 0.391, w = 0.65, gamma = 0.03454, freqs = 194.2575 , 216.9667 
hx = 0.15, hy = 0.15, a = 0.392, w = 0.65, gamma = 0.0346, freqs = 194.1275 , 215.9181 
hx = 0.125, hy = 0.175, a = 0.392, w = 0.65, gamma = 0.03517, freqs = 193.6041 , 212.9874 
hx = 0.125, hy = 0.2, a = 0.392, w = 0.65, gamma = 0.03598, freqs = 193.7612 , 214.8055 
hx = 0.125, hy = 0.225, a = 0.392, w = 0.65, gamma = 0.03626, freqs = 193.9539 , 216.5432 
hx = 0.125, hy = 0.175, a = 0.393, w = 0.65, gamma = 0.03643, freqs = 193.2991 , 212.5756 
hx = 0.15, hy = 0.175, a = 0.393, w = 0.65, gamma = 0.03678, freqs = 193.9898 , 217.4755 
hx = 0.125, hy = 0.2, a = 0.393, w = 0.65, gamma = 0.03739, freqs = 193.4539 , 214.3718 
hx = 0.125, hy = 0.225, a = 0.393, w = 0.65, gamma = 0.03784, freqs = 193.6468 , 216.097 
hx = 0.15, hy = 0.175, a = 0.394, w = 0.65, gamma = 0.03841, freqs = 193.6894 , 217.0656 
hx = 0.125, hy = 0.2, a = 0.394, w = 0.65, gamma = 0.03864, freqs = 193.1572 , 213.9573 
hx = 0.15, hy = 0.2, a = 0.394, w = 0.65, gamma = 0.03883, freqs = 193.9107 , 219.4055 
hx = 0.125, hy = 0.225, a = 0.394, w = 0.65, gamma = 0.03923, freqs = 193.354 , 215.6917 
hx = 0.125, hy = 0.25, a = 0.394, w = 0.65, gamma = 0.03937, freqs = 193.5815 , 217.3861 
hx = 0.15, hy = 0.175, a = 0.395, w = 0.65, gamma = 0.03984, freqs = 193.4072 , 216.7 
hx = 0.15, hy = 0.2, a = 0.395, w = 0.65, gamma = 0.04046, freqs = 193.6167 , 218.9598 
hx = 0.125, hy = 0.25, a = 0.395, w = 0.65, gamma = 0.04074, freqs = 193.3042 , 217.008 
hx = 0.15, hy = 0.175, a = 0.396, w = 0.65, gamma = 0.04112, freqs = 193.1357 , 216.3497 
hx = 0.15, hy = 0.2, a = 0.396, w = 0.65, gamma = 0.0419, freqs = 193.3432 , 218.5893 
hx = 0.15, hy = 0.225, a = 0.396, w = 0.65, gamma = 0.04202, freqs = 193.5755 , 220.5817 
hx = 0.15, hy = 0.175, a = 0.397, w = 0.65, gamma = 0.04242, freqs = 192.8444 , 215.9865 
hx = 0.15, hy = 0.2, a = 0.397, w = 0.65, gamma = 0.04331, freqs = 193.0478 , 218.1532 
hx = 0.15, hy = 0.225, a = 0.397, w = 0.65, gamma = 0.04361, freqs = 193.2805 , 220.1592 
hx = 0.15, hy = 0.2, a = 0.398, w = 0.65, gamma = 0.04417, freqs = 192.8775 , 217.9995 
hx = 0.15, hy = 0.225, a = 0.398, w = 0.65, gamma = 0.04456, freqs = 193.0964 , 219.9031 
hx = 0.15, hy = 0.2, a = 0.399, w = 0.65, gamma = 0.04539, freqs = 192.5824 , 217.525 
hx = 0.15, hy = 0.225, a = 0.399, w = 0.65, gamma = 0.04595, freqs = 192.8094 , 219.506 
hx = 0.15, hy = 0.25, a = 0.399, w = 0.65, gamma = 0.04606, freqs = 193.0775 , 221.5592 
hx = 0.15, hy = 0.2, a = 0.4, w = 0.65, gamma = 0.04653, freqs = 192.3025 , 217.1376 
hx = 0.15, hy = 0.225, a = 0.4, w = 0.65, gamma = 0.04721, freqs = 192.5305 , 219.1135 
hx = 0.15, hy = 0.25, a = 0.4, w = 0.65, gamma = 0.0475, freqs = 192.7899 , 221.139 
hx = 0.15, hy = 0.2, a = 0.401, w = 0.65, gamma = 0.04757, freqs = 191.9969 , 216.6124 
hx = 0.15, hy = 0.225, a = 0.401, w = 0.65, gamma = 0.04844, freqs = 192.2412 , 218.7049 
hx = 0.15, hy = 0.25, a = 0.401, w = 0.65, gamma = 0.04887, freqs = 192.4998 , 220.7205 
hx = 0.15, hy = 0.225, a = 0.402, w = 0.65, gamma = 0.04957, freqs = 191.9473 , 218.2652 
hx = 0.15, hy = 0.25, a = 0.402, w = 0.65, gamma = 0.05015, freqs = 192.2061 , 220.2783 
hx = 0.15, hy = 0.275, a = 0.402, w = 0.65, gamma = 0.05016, freqs = 192.5103 , 222.257 
hx = 0.15, hy = 0.225, a = 0.403, w = 0.65, gamma = 0.05059, freqs = 191.6589 , 217.8152 
hx = 0.15, hy = 0.25, a = 0.403, w = 0.65, gamma = 0.05132, freqs = 191.9213 , 219.8552 
hx = 0.15, hy = 0.275, a = 0.403, w = 0.65, gamma = 0.05144, freqs = 192.2259 , 221.7993 
hx = 0.15, hy = 0.225, a = 0.404, w = 0.65, gamma = 0.05148, freqs = 191.3905 , 217.3948 
hx = 0.15, hy = 0.25, a = 0.404, w = 0.65, gamma = 0.05236, freqs = 191.6458 , 219.4291 
hx = 0.15, hy = 0.275, a = 0.404, w = 0.65, gamma = 0.05259, freqs = 191.9547 , 221.3707 
hx = 0.175, hy = 0.225, a = 0.405, w = 0.65, gamma = 0.05259, freqs = 192.1225 , 222.4143 
hx = 0.15, hy = 0.25, a = 0.405, w = 0.65, gamma = 0.05342, freqs = 191.3553 , 219.0059 
hx = 0.15, hy = 0.275, a = 0.405, w = 0.65, gamma = 0.05376, freqs = 191.6509 , 220.8459 
hx = 0.175, hy = 0.225, a = 0.406, w = 0.65, gamma = 0.05386, freqs = 191.8221 , 221.9329 
hx = 0.15, hy = 0.25, a = 0.406, w = 0.65, gamma = 0.0544, freqs = 191.0595 , 218.5508 
hx = 0.15, hy = 0.275, a = 0.406, w = 0.65, gamma = 0.05485, freqs = 191.3547 , 220.3737 
hx = 0.15, hy = 0.25, a = 0.407, w = 0.65, gamma = 0.05507, freqs = 190.8625 , 218.3042 
hx = 0.175, hy = 0.25, a = 0.407, w = 0.65, gamma = 0.05527, freqs = 191.9318 , 224.1753 
hx = 0.15, hy = 0.275, a = 0.407, w = 0.65, gamma = 0.05559, freqs = 191.1626 , 220.128 
hx = 0.15, hy = 0.3, a = 0.407, w = 0.65, gamma = 0.05561, freqs = 191.5186 , 222.0071 
hx = 0.175, hy = 0.225, a = 0.408, w = 0.65, gamma = 0.05606, freqs = 191.2919 , 221.2401 
hx = 0.175, hy = 0.25, a = 0.408, w = 0.65, gamma = 0.05669, freqs = 191.6064 , 223.6744 
hx = 0.15, hy = 0.3, a = 0.408, w = 0.65, gamma = 0.05686, freqs = 191.1893 , 221.4916 
hx = 0.175, hy = 0.225, a = 0.409, w = 0.65, gamma = 0.05716, freqs = 190.9967 , 220.82 
hx = 0.175, hy = 0.25, a = 0.409, w = 0.65, gamma = 0.05793, freqs = 191.3089 , 223.2296 
hx = 0.175, hy = 0.275, a = 0.409, w = 0.65, gamma = 0.05797, freqs = 191.6419 , 225.3325 
hx = 0.175, hy = 0.225, a = 0.41, w = 0.65, gamma = 0.05819, freqs = 190.7012 , 220.3918 
hx = 0.175, hy = 0.25, a = 0.41, w = 0.65, gamma = 0.05909, freqs = 191.0196 , 222.8233 
hx = 0.175, hy = 0.275, a = 0.41, w = 0.65, gamma = 0.05926, freqs = 191.3434 , 224.8684 
hx = 0.175, hy = 0.25, a = 0.411, w = 0.65, gamma = 0.06019, freqs = 190.713 , 222.3375 
hx = 0.175, hy = 0.275, a = 0.411, w = 0.65, gamma = 0.06052, freqs = 191.0298 , 224.3559 
hx = 0.175, hy = 0.25, a = 0.412, w = 0.65, gamma = 0.06122, freqs = 190.4163 , 221.8872 
hx = 0.175, hy = 0.275, a = 0.412, w = 0.65, gamma = 0.06166, freqs = 190.7306 , 223.8853 
hx = 0.175, hy = 0.25, a = 0.413, w = 0.65, gamma = 0.06219, freqs = 190.1088 , 221.3963 
hx = 0.175, hy = 0.275, a = 0.413, w = 0.65, gamma = 0.06273, freqs = 190.4308 , 223.4021 
hx = 0.175, hy = 0.3, a = 0.413, w = 0.65, gamma = 0.06282, freqs = 190.8249 , 225.6159 
hx = 0.175, hy = 0.25, a = 0.414, w = 0.65, gamma = 0.06312, freqs = 189.8026 , 220.928 
hx = 0.175, hy = 0.275, a = 0.414, w = 0.65, gamma = 0.06377, freqs = 190.1191 , 222.8978 
hx = 0.175, hy = 0.3, a = 0.414, w = 0.65, gamma = 0.06402, freqs = 190.5153 , 225.1275 
hx = 0.175, hy = 0.275, a = 0.415, w = 0.65, gamma = 0.06452, freqs = 189.9181 , 222.6681 
hx = 0.175, hy = 0.3, a = 0.415, w = 0.65, gamma = 0.06482, freqs = 190.3091 , 224.8473 
hx = 0.175, hy = 0.275, a = 0.416, w = 0.65, gamma = 0.06543, freqs = 189.6215 , 222.203 
hx = 0.175, hy = 0.3, a = 0.416, w = 0.65, gamma = 0.06588, freqs = 190.0105 , 224.3833 
hx = 0.175, hy = 0.275, a = 0.419, w = 0.65, gamma = 0.06589, freqs = 189.2902 , 221.2708 
hx = 0.175, hy = 0.3, a = 0.419, w = 0.65, gamma = 0.06649, freqs = 189.6736 , 223.3852 
hx = 0.175, hy = 0.3, a = 0.42, w = 0.65, gamma = 0.06711, freqs = 189.4564 , 223.0028 
hx = 0.2, hy = 0.275, a = 0.421, w = 0.65, gamma = 0.06734, freqs = 190.1166 , 226.3814 
hx = 0.175, hy = 0.3, a = 0.421, w = 0.65, gamma = 0.06784, freqs = 189.2003 , 222.5845 
hx = 0.175, hy = 0.325, a = 0.421, w = 0.65, gamma = 0.06792, freqs = 189.6263 , 224.5104 
hx = 0.2, hy = 0.275, a = 0.422, w = 0.65, gamma = 0.06835, freqs = 189.8343 , 225.9282 
hx = 0.175, hy = 0.3, a = 0.422, w = 0.65, gamma = 0.06857, freqs = 188.9322 , 222.1523 
