wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.15, hy = 0.225, a = 0.325, w = 0.65, gamma = 0.01561, freqs = 196.4415 , 232.7495 
hx = 0.15, hy = 0.225, a = 0.326, w = 0.65, gamma = 0.02379, freqs = 196.0229 , 232.3089 
hx = 0.15, hy = 0.225, a = 0.327, w = 0.65, gamma = 0.02992, freqs = 195.5848 , 231.733 
hx = 0.15, hy = 0.225, a = 0.328, w = 0.65, gamma = 0.03487, freqs = 195.1471 , 231.1556 
hx = 0.15, hy = 0.225, a = 0.329, w = 0.65, gamma = 0.0391, freqs = 194.7082 , 230.5628 
hx = 0.15, hy = 0.225, a = 0.33, w = 0.65, gamma = 0.04283, freqs = 194.2679 , 229.9664 
hx = 0.15, hy = 0.225, a = 0.331, w = 0.65, gamma = 0.04604, freqs = 193.8535 , 229.5086 
hx = 0.15, hy = 0.225, a = 0.332, w = 0.65, gamma = 0.04901, freqs = 193.4232 , 228.9158 
hx = 0.15, hy = 0.225, a = 0.333, w = 0.65, gamma = 0.05166, freqs = 193.0018 , 228.3265 
hx = 0.15, hy = 0.225, a = 0.334, w = 0.65, gamma = 0.0541, freqs = 192.5839 , 227.7564 
hx = 0.15, hy = 0.225, a = 0.335, w = 0.65, gamma = 0.05624, freqs = 192.1902 , 227.2396 
hx = 0.15, hy = 0.225, a = 0.336, w = 0.65, gamma = 0.05681, freqs = 192.065 , 226.9734 
hx = 0.15, hy = 0.225, a = 0.337, w = 0.65, gamma = 0.05875, freqs = 191.6881 , 226.5492 
hx = 0.15, hy = 0.25, a = 0.337, w = 0.65, gamma = 0.05893, freqs = 192.0425 , 229.5073 
hx = 0.15, hy = 0.225, a = 0.338, w = 0.65, gamma = 0.06057, freqs = 191.2923 , 226.0021 
hx = 0.15, hy = 0.25, a = 0.338, w = 0.65, gamma = 0.06099, freqs = 191.6456 , 228.967 
hx = 0.15, hy = 0.225, a = 0.339, w = 0.65, gamma = 0.06228, freqs = 190.8941 , 225.442 
hx = 0.15, hy = 0.25, a = 0.339, w = 0.65, gamma = 0.06293, freqs = 191.2478 , 228.4235 
hx = 0.15, hy = 0.275, a = 0.339, w = 0.65, gamma = 0.06304, freqs = 191.6295 , 231.4695 
hx = 0.15, hy = 0.225, a = 0.34, w = 0.65, gamma = 0.06388, freqs = 190.498 , 224.8988 
hx = 0.15, hy = 0.25, a = 0.34, w = 0.65, gamma = 0.06475, freqs = 190.8471 , 227.8677 
hx = 0.15, hy = 0.275, a = 0.34, w = 0.65, gamma = 0.06507, freqs = 191.2284 , 230.8947 
hx = 0.15, hy = 0.225, a = 0.341, w = 0.65, gamma = 0.06538, freqs = 190.101 , 224.3504 
hx = 0.15, hy = 0.25, a = 0.341, w = 0.65, gamma = 0.06646, freqs = 190.449 , 227.3214 
hx = 0.15, hy = 0.275, a = 0.341, w = 0.65, gamma = 0.06698, freqs = 190.8266 , 230.3142 
hx = 0.15, hy = 0.25, a = 0.342, w = 0.65, gamma = 0.06806, freqs = 190.0501 , 226.7704 
hx = 0.15, hy = 0.275, a = 0.342, w = 0.65, gamma = 0.06877, freqs = 190.4248 , 229.7319 
hx = 0.15, hy = 0.3, a = 0.342, w = 0.65, gamma = 0.0688, freqs = 190.844 , 232.6731 
hx = 0.15, hy = 0.25, a = 0.343, w = 0.65, gamma = 0.06961, freqs = 189.6637 , 226.3219 
hx = 0.15, hy = 0.275, a = 0.343, w = 0.65, gamma = 0.07048, freqs = 190.035 , 229.2533 
hx = 0.15, hy = 0.3, a = 0.343, w = 0.65, gamma = 0.07069, freqs = 190.454 , 232.1746 
hx = 0.15, hy = 0.25, a = 0.344, w = 0.65, gamma = 0.07101, freqs = 189.2664 , 225.7594 
hx = 0.15, hy = 0.275, a = 0.344, w = 0.65, gamma = 0.07206, freqs = 189.6341 , 228.6558 
