hx = 0.05, hy = 0.1, a = 0.311, w = 0.65, gamma = 0.00656
hx = 0.05, hy = 0.1, a = 0.312, w = 0.65, gamma = 0.01032
hx = 0.075, hy = 0.1, a = 0.312, w = 0.65, gamma = 0.01043
hx = 0.05, hy = 0.125, a = 0.312, w = 0.65, gamma = 0.01088
hx = 0.05, hy = 0.15, a = 0.312, w = 0.65, gamma = 0.0111
hx = 0.05, hy = 0.1, a = 0.313, w = 0.65, gamma = 0.01273
hx = 0.075, hy = 0.1, a = 0.313, w = 0.65, gamma = 0.01452
hx = 0.075, hy = 0.125, a = 0.313, w = 0.65, gamma = 0.0149
hx = 0.075, hy = 0.1, a = 0.314, w = 0.65, gamma = 0.01747
hx = 0.075, hy = 0.125, a = 0.314, w = 0.65, gamma = 0.01827
hx = 0.075, hy = 0.15, a = 0.314, w = 0.65, gamma = 0.01867
hx = 0.075, hy = 0.1, a = 0.315, w = 0.65, gamma = 0.01983
hx = 0.1, hy = 0.1, a = 0.315, w = 0.65, gamma = 0.01994
hx = 0.075, hy = 0.125, a = 0.315, w = 0.65, gamma = 0.02096
hx = 0.075, hy = 0.15, a = 0.315, w = 0.65, gamma = 0.0217
hx = 0.075, hy = 0.175, a = 0.315, w = 0.65, gamma = 0.022
hx = 0.075, hy = 0.15, a = 0.316, w = 0.65, gamma = 0.02263
hx = 0.075, hy = 0.175, a = 0.316, w = 0.65, gamma = 0.02305
hx = 0.075, hy = 0.2, a = 0.316, w = 0.65, gamma = 0.02315
hx = 0.1, hy = 0.1, a = 0.317, w = 0.65, gamma = 0.02392
hx = 0.1, hy = 0.125, a = 0.317, w = 0.65, gamma = 0.02461
hx = 0.075, hy = 0.15, a = 0.317, w = 0.65, gamma = 0.02484
hx = 0.075, hy = 0.175, a = 0.317, w = 0.65, gamma = 0.02552
hx = 0.075, hy = 0.2, a = 0.317, w = 0.65, gamma = 0.02595
hx = 0.1, hy = 0.1, a = 0.318, w = 0.65, gamma = 0.02611
hx = 0.1, hy = 0.125, a = 0.318, w = 0.65, gamma = 0.02712
hx = 0.1, hy = 0.15, a = 0.318, w = 0.65, gamma = 0.02769
hx = 0.1, hy = 0.175, a = 0.318, w = 0.65, gamma = 0.02779
hx = 0.075, hy = 0.2, a = 0.318, w = 0.65, gamma = 0.02818
hx = 0.075, hy = 0.225, a = 0.318, w = 0.65, gamma = 0.02837
hx = 0.1, hy = 0.125, a = 0.319, w = 0.65, gamma = 0.02932
hx = 0.1, hy = 0.15, a = 0.319, w = 0.65, gamma = 0.03017
hx = 0.1, hy = 0.175, a = 0.319, w = 0.65, gamma = 0.03058
hx = 0.1, hy = 0.2, a = 0.319, w = 0.65, gamma = 0.03061
hx = 0.1, hy = 0.125, a = 0.32, w = 0.65, gamma = 0.03125
hx = 0.1, hy = 0.15, a = 0.32, w = 0.65, gamma = 0.03233
hx = 0.1, hy = 0.175, a = 0.32, w = 0.65, gamma = 0.03301
hx = 0.1, hy = 0.2, a = 0.32, w = 0.65, gamma = 0.0333
hx = 0.1, hy = 0.15, a = 0.321, w = 0.65, gamma = 0.03428
hx = 0.1, hy = 0.175, a = 0.321, w = 0.65, gamma = 0.0352
hx = 0.1, hy = 0.2, a = 0.321, w = 0.65, gamma = 0.03575
hx = 0.1, hy = 0.225, a = 0.321, w = 0.65, gamma = 0.0358
hx = 0.1, hy = 0.15, a = 0.322, w = 0.65, gamma = 0.03598
hx = 0.1, hy = 0.175, a = 0.322, w = 0.65, gamma = 0.03712
hx = 0.1, hy = 0.2, a = 0.322, w = 0.65, gamma = 0.03791
hx = 0.1, hy = 0.225, a = 0.322, w = 0.65, gamma = 0.0382
hx = 0.1, hy = 0.175, a = 0.323, w = 0.65, gamma = 0.03891
hx = 0.1, hy = 0.2, a = 0.323, w = 0.65, gamma = 0.03991
hx = 0.1, hy = 0.225, a = 0.323, w = 0.65, gamma = 0.04042
hx = 0.1, hy = 0.175, a = 0.324, w = 0.65, gamma = 0.04052
hx = 0.1, hy = 0.2, a = 0.324, w = 0.65, gamma = 0.04173
hx = 0.1, hy = 0.225, a = 0.324, w = 0.65, gamma = 0.04245
hx = 0.1, hy = 0.25, a = 0.324, w = 0.65, gamma = 0.04261
hx = 0.1, hy = 0.2, a = 0.325, w = 0.65, gamma = 0.04341
hx = 0.1, hy = 0.225, a = 0.325, w = 0.65, gamma = 0.04432
hx = 0.1, hy = 0.25, a = 0.325, w = 0.65, gamma = 0.04468
hx = 0.125, hy = 0.175, a = 0.326, w = 0.65, gamma = 0.04471
hx = 0.1, hy = 0.2, a = 0.326, w = 0.65, gamma = 0.0449
hx = 0.125, hy = 0.2, a = 0.326, w = 0.65, gamma = 0.04531
hx = 0.1, hy = 0.225, a = 0.326, w = 0.65, gamma = 0.04601
hx = 0.1, hy = 0.25, a = 0.326, w = 0.65, gamma = 0.04654
hx = 0.125, hy = 0.175, a = 0.327, w = 0.65, gamma = 0.04669
hx = 0.125, hy = 0.2, a = 0.327, w = 0.65, gamma = 0.04754
hx = 0.1, hy = 0.225, a = 0.327, w = 0.65, gamma = 0.04759
hx = 0.125, hy = 0.225, a = 0.327, w = 0.65, gamma = 0.04785
hx = 0.1, hy = 0.25, a = 0.327, w = 0.65, gamma = 0.04831
hx = 0.1, hy = 0.275, a = 0.327, w = 0.65, gamma = 0.04849
hx = 0.125, hy = 0.2, a = 0.328, w = 0.65, gamma = 0.04953
hx = 0.125, hy = 0.225, a = 0.328, w = 0.65, gamma = 0.05007
hx = 0.1, hy = 0.275, a = 0.328, w = 0.65, gamma = 0.05025
hx = 0.125, hy = 0.2, a = 0.329, w = 0.65, gamma = 0.05137
hx = 0.125, hy = 0.225, a = 0.329, w = 0.65, gamma = 0.05212
hx = 0.125, hy = 0.25, a = 0.329, w = 0.65, gamma = 0.05228
hx = 0.125, hy = 0.2, a = 0.33, w = 0.65, gamma = 0.05306
hx = 0.125, hy = 0.225, a = 0.33, w = 0.65, gamma = 0.05401
hx = 0.125, hy = 0.25, a = 0.33, w = 0.65, gamma = 0.05438
hx = 0.125, hy = 0.2, a = 0.331, w = 0.65, gamma = 0.05468
hx = 0.125, hy = 0.225, a = 0.331, w = 0.65, gamma = 0.05582
hx = 0.125, hy = 0.25, a = 0.331, w = 0.65, gamma = 0.05635
hx = 0.125, hy = 0.275, a = 0.331, w = 0.65, gamma = 0.05646
hx = 0.125, hy = 0.225, a = 0.332, w = 0.65, gamma = 0.05741
hx = 0.125, hy = 0.25, a = 0.332, w = 0.65, gamma = 0.05815
hx = 0.125, hy = 0.275, a = 0.332, w = 0.65, gamma = 0.05847
hx = 0.125, hy = 0.225, a = 0.333, w = 0.65, gamma = 0.0589
hx = 0.125, hy = 0.25, a = 0.333, w = 0.65, gamma = 0.05983
hx = 0.125, hy = 0.275, a = 0.333, w = 0.65, gamma = 0.06034
hx = 0.125, hy = 0.275, a = 0.334, w = 0.65, gamma = 0.06078
hx = 0.125, hy = 0.25, a = 0.335, w = 0.65, gamma = 0.06165
hx = 0.125, hy = 0.275, a = 0.335, w = 0.65, gamma = 0.06237
hx = 0.125, hy = 0.3, a = 0.335, w = 0.65, gamma = 0.06244
hx = 0.125, hy = 0.25, a = 0.336, w = 0.65, gamma = 0.06299
hx = 0.125, hy = 0.275, a = 0.336, w = 0.65, gamma = 0.06388
hx = 0.125, hy = 0.3, a = 0.336, w = 0.65, gamma = 0.06411
hx = 0.125, hy = 0.25, a = 0.337, w = 0.65, gamma = 0.06429
hx = 0.125, hy = 0.275, a = 0.337, w = 0.65, gamma = 0.06531
hx = 0.125, hy = 0.3, a = 0.337, w = 0.65, gamma = 0.06568
hx = 0.125, hy = 0.275, a = 0.338, w = 0.65, gamma = 0.06663
hx = 0.125, hy = 0.3, a = 0.338, w = 0.65, gamma = 0.06717
hx = 0.125, hy = 0.275, a = 0.339, w = 0.65, gamma = 0.06789
hx = 0.125, hy = 0.3, a = 0.339, w = 0.65, gamma = 0.06856
hx = 0.125, hy = 0.275, a = 0.34, w = 0.65, gamma = 0.06904
hx = 0.125, hy = 0.3, a = 0.34, w = 0.65, gamma = 0.06985
hx = 0.125, hy = 0.325, a = 0.34, w = 0.65, gamma = 0.06988
hx = 0.125, hy = 0.275, a = 0.341, w = 0.65, gamma = 0.07014
hx = 0.15, hy = 0.275, a = 0.341, w = 0.65, gamma = 0.07042
hx = 0.125, hy = 0.3, a = 0.341, w = 0.65, gamma = 0.07108
hx = 0.125, hy = 0.325, a = 0.341, w = 0.65, gamma = 0.07126
hx = 0.15, hy = 0.25, a = 0.342, w = 0.65, gamma = 0.07134
hx = 0.15, hy = 0.275, a = 0.342, w = 0.65, gamma = 0.0721
hx = 0.125, hy = 0.3, a = 0.342, w = 0.65, gamma = 0.07225
hx = 0.125, hy = 0.325, a = 0.342, w = 0.65, gamma = 0.07255
hx = 0.15, hy = 0.25, a = 0.343, w = 0.65, gamma = 0.07281
hx = 0.15, hy = 0.275, a = 0.343, w = 0.65, gamma = 0.07373
hx = 0.15, hy = 0.3, a = 0.343, w = 0.65, gamma = 0.07396
hx = 0.15, hy = 0.25, a = 0.344, w = 0.65, gamma = 0.07414
hx = 0.15, hy = 0.275, a = 0.344, w = 0.65, gamma = 0.07522
hx = 0.15, hy = 0.3, a = 0.344, w = 0.65, gamma = 0.07562
hx = 0.15, hy = 0.275, a = 0.345, w = 0.65, gamma = 0.07663
hx = 0.15, hy = 0.3, a = 0.345, w = 0.65, gamma = 0.07718
hx = 0.15, hy = 0.275, a = 0.346, w = 0.65, gamma = 0.07796
hx = 0.15, hy = 0.3, a = 0.346, w = 0.65, gamma = 0.07866
hx = 0.15, hy = 0.325, a = 0.346, w = 0.65, gamma = 0.07869
hx = 0.15, hy = 0.275, a = 0.347, w = 0.65, gamma = 0.07922
hx = 0.15, hy = 0.3, a = 0.347, w = 0.65, gamma = 0.08008
hx = 0.15, hy = 0.325, a = 0.347, w = 0.65, gamma = 0.08029
hx = 0.15, hy = 0.275, a = 0.348, w = 0.65, gamma = 0.08039
hx = 0.15, hy = 0.3, a = 0.348, w = 0.65, gamma = 0.08139
