hx = 0.1, hy = 0.2, a = 0.312, w = 0.65, freqs = [192.59601398 216.87108356], gamma = 0.04467
hx = 0.1, hy = 0.225, a = 0.312, w = 0.65, freqs = [192.80056785 219.14074483], gamma = 0.04567
hx = 0.1, hy = 0.25, a = 0.312, w = 0.65, freqs = [193.04528562 221.44030371], gamma = 0.04617
hx = 0.1, hy = 0.2, a = 0.313, w = 0.65, freqs = [192.16786985 216.30358588], gamma = 0.04636
hx = 0.1, hy = 0.225, a = 0.313, w = 0.65, freqs = [192.37366419 218.5814894 ], gamma = 0.04758
hx = 0.1, hy = 0.25, a = 0.313, w = 0.65, freqs = [192.61593982 220.85449764], gamma = 0.0483
hx = 0.1, hy = 0.275, a = 0.313, w = 0.65, freqs = [192.89218626 223.06505479], gamma = 0.04846
hx = 0.1, hy = 0.225, a = 0.314, w = 0.65, freqs = [191.94651702 218.01851294], gamma = 0.04932
hx = 0.1, hy = 0.25, a = 0.314, w = 0.65, freqs = [192.18701949 220.26844638], gamma = 0.05025
hx = 0.1, hy = 0.275, a = 0.314, w = 0.65, freqs = [192.45841406 222.43011606], gamma = 0.05062
hx = 0.1, hy = 0.25, a = 0.315, w = 0.65, freqs = [191.95698576 219.93840111], gamma = 0.0512
hx = 0.1, hy = 0.275, a = 0.315, w = 0.65, freqs = [192.23090213 222.10352266], gamma = 0.05168
hx = 0.125, hy = 0.225, a = 0.316, w = 0.65, freqs = [192.51237357 224.7470086 ], gamma = 0.05223
hx = 0.1, hy = 0.25, a = 0.316, w = 0.65, freqs = [191.53050985 219.33603993], gamma = 0.05286
hx = 0.1, hy = 0.275, a = 0.316, w = 0.65, freqs = [191.80318543 221.48228185], gamma = 0.05354
hx = 0.1, hy = 0.3, a = 0.316, w = 0.65, freqs = [192.12802821 223.57556096], gamma = 0.05359
hx = 0.125, hy = 0.225, a = 0.317, w = 0.65, freqs = [192.06914919 224.13614849], gamma = 0.05442
hx = 0.125, hy = 0.25, a = 0.317, w = 0.65, freqs = [192.3749216  226.92902279], gamma = 0.05483
hx = 0.1, hy = 0.275, a = 0.317, w = 0.65, freqs = [191.37665615 220.86161716], gamma = 0.05524
hx = 0.1, hy = 0.3, a = 0.317, w = 0.65, freqs = [191.69859955 222.93045908], gamma = 0.05549
hx = 0.125, hy = 0.225, a = 0.318, w = 0.65, freqs = [191.66538688 223.62769859], gamma = 0.05631
hx = 0.125, hy = 0.25, a = 0.318, w = 0.65, freqs = [191.96851939 226.3901335 ], gamma = 0.05693
hx = 0.125, hy = 0.275, a = 0.318, w = 0.65, freqs = [192.30875107 229.14720392], gamma = 0.05694
hx = 0.1, hy = 0.3, a = 0.318, w = 0.65, freqs = [191.31109986 222.37379151], gamma = 0.05709
hx = 0.125, hy = 0.225, a = 0.319, w = 0.65, freqs = [191.25403138 223.10095218], gamma = 0.0581
hx = 0.125, hy = 0.25, a = 0.319, w = 0.65, freqs = [191.5558107  225.84490961], gamma = 0.05892
hx = 0.125, hy = 0.275, a = 0.319, w = 0.65, freqs = [191.89422419 228.56813734], gamma = 0.05914
hx = 0.125, hy = 0.225, a = 0.32, w = 0.65, freqs = [190.86339752 222.66900256], gamma = 0.05975
hx = 0.125, hy = 0.25, a = 0.32, w = 0.65, freqs = [191.16474449 225.40495517], gamma = 0.06075
hx = 0.125, hy = 0.275, a = 0.32, w = 0.65, freqs = [191.50182122 228.10852994], gamma = 0.06116
hx = 0.125, hy = 0.225, a = 0.321, w = 0.65, freqs = [190.45269157 222.12821707], gamma = 0.06129
