hx = 0.1, hy = 0.3, a = 0.319, w = 0.65, gamma = 0.05549
hx = 0.125, hy = 0.2, a = 0.32, w = 0.65, gamma = 0.05559
hx = 0.125, hy = 0.225, a = 0.32, w = 0.65, gamma = 0.05671
hx = 0.125, hy = 0.25, a = 0.32, w = 0.65, gamma = 0.05728
hx = 0.125, hy = 0.225, a = 0.321, w = 0.65, gamma = 0.05848
hx = 0.125, hy = 0.25, a = 0.321, w = 0.65, gamma = 0.05925
hx = 0.125, hy = 0.275, a = 0.321, w = 0.65, gamma = 0.05938
hx = 0.125, hy = 0.225, a = 0.322, w = 0.65, gamma = 0.06011
hx = 0.125, hy = 0.25, a = 0.322, w = 0.65, gamma = 0.06108
hx = 0.125, hy = 0.275, a = 0.322, w = 0.65, gamma = 0.06142
hx = 0.125, hy = 0.225, a = 0.323, w = 0.65, gamma = 0.06164
hx = 0.125, hy = 0.25, a = 0.323, w = 0.65, gamma = 0.06278
hx = 0.125, hy = 0.275, a = 0.323, w = 0.65, gamma = 0.06332
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, gamma = 0.06337
hx = 0.125, hy = 0.25, a = 0.324, w = 0.65, gamma = 0.06438
hx = 0.125, hy = 0.275, a = 0.324, w = 0.65, gamma = 0.06512
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, gamma = 0.06537
hx = 0.125, hy = 0.25, a = 0.325, w = 0.65, gamma = 0.06593
hx = 0.125, hy = 0.275, a = 0.325, w = 0.65, gamma = 0.06685
hx = 0.125, hy = 0.3, a = 0.325, w = 0.65, gamma = 0.06728
hx = 0.125, hy = 0.25, a = 0.326, w = 0.65, gamma = 0.06732
hx = 0.125, hy = 0.275, a = 0.326, w = 0.65, gamma = 0.06842
hx = 0.125, hy = 0.3, a = 0.326, w = 0.65, gamma = 0.06902
hx = 0.125, hy = 0.275, a = 0.327, w = 0.65, gamma = 0.06989
hx = 0.125, hy = 0.3, a = 0.327, w = 0.65, gamma = 0.07066
hx = 0.125, hy = 0.325, a = 0.327, w = 0.65, gamma = 0.07072
hx = 0.125, hy = 0.275, a = 0.328, w = 0.65, gamma = 0.07126
hx = 0.125, hy = 0.3, a = 0.328, w = 0.65, gamma = 0.0722
hx = 0.125, hy = 0.325, a = 0.328, w = 0.65, gamma = 0.07242
hx = 0.125, hy = 0.275, a = 0.329, w = 0.65, gamma = 0.07253
hx = 0.125, hy = 0.3, a = 0.329, w = 0.65, gamma = 0.07364
hx = 0.125, hy = 0.325, a = 0.329, w = 0.65, gamma = 0.07403
hx = 0.125, hy = 0.3, a = 0.33, w = 0.65, gamma = 0.07433
hx = 0.125, hy = 0.325, a = 0.33, w = 0.65, gamma = 0.07483
hx = 0.125, hy = 0.3, a = 0.331, w = 0.65, gamma = 0.07565
hx = 0.125, hy = 0.325, a = 0.331, w = 0.65, gamma = 0.07628
hx = 0.15, hy = 0.275, a = 0.332, w = 0.65, gamma = 0.07635
hx = 0.125, hy = 0.3, a = 0.332, w = 0.65, gamma = 0.07683
hx = 0.125, hy = 0.325, a = 0.332, w = 0.65, gamma = 0.07762
hx = 0.15, hy = 0.275, a = 0.333, w = 0.65, gamma = 0.078
hx = 0.15, hy = 0.3, a = 0.333, w = 0.65, gamma = 0.07865
hx = 0.125, hy = 0.325, a = 0.333, w = 0.65, gamma = 0.07887
hx = 0.125, hy = 0.35, a = 0.333, w = 0.65, gamma = 0.079
hx = 0.15, hy = 0.275, a = 0.334, w = 0.65, gamma = 0.07948
hx = 0.15, hy = 0.3, a = 0.334, w = 0.65, gamma = 0.08029
hx = 0.15, hy = 0.325, a = 0.334, w = 0.65, gamma = 0.08037
hx = 0.15, hy = 0.275, a = 0.335, w = 0.65, gamma = 0.08085
hx = 0.15, hy = 0.3, a = 0.335, w = 0.65, gamma = 0.08183
hx = 0.15, hy = 0.325, a = 0.335, w = 0.65, gamma = 0.08206
hx = 0.15, hy = 0.275, a = 0.336, w = 0.65, gamma = 0.08216
hx = 0.15, hy = 0.3, a = 0.336, w = 0.65, gamma = 0.08328
hx = 0.15, hy = 0.325, a = 0.336, w = 0.65, gamma = 0.08367
hx = 0.15, hy = 0.3, a = 0.337, w = 0.65, gamma = 0.08471
hx = 0.15, hy = 0.325, a = 0.337, w = 0.65, gamma = 0.08522
hx = 0.15, hy = 0.3, a = 0.338, w = 0.65, gamma = 0.08601
hx = 0.15, hy = 0.325, a = 0.338, w = 0.65, gamma = 0.08666
hx = 0.15, hy = 0.3, a = 0.339, w = 0.65, gamma = 0.08713
hx = 0.15, hy = 0.325, a = 0.339, w = 0.65, gamma = 0.08795
hx = 0.15, hy = 0.35, a = 0.339, w = 0.65, gamma = 0.08807
hx = 0.15, hy = 0.3, a = 0.34, w = 0.65, gamma = 0.0882
hx = 0.15, hy = 0.325, a = 0.34, w = 0.65, gamma = 0.08912
hx = 0.15, hy = 0.35, a = 0.34, w = 0.65, gamma = 0.08941
hx = 0.15, hy = 0.325, a = 0.341, w = 0.65, gamma = 0.09023
hx = 0.15, hy = 0.35, a = 0.341, w = 0.65, gamma = 0.0907
hx = 0.15, hy = 0.325, a = 0.342, w = 0.65, gamma = 0.09132
hx = 0.15, hy = 0.35, a = 0.342, w = 0.65, gamma = 0.09191
hx = 0.15, hy = 0.325, a = 0.343, w = 0.65, gamma = 0.09243
hx = 0.15, hy = 0.35, a = 0.343, w = 0.65, gamma = 0.09314
hx = 0.15, hy = 0.325, a = 0.344, w = 0.65, gamma = 0.09338
hx = 0.15, hy = 0.35, a = 0.344, w = 0.65, gamma = 0.09424
hx = 0.15, hy = 0.325, a = 0.345, w = 0.65, gamma = 0.09429
hx = 0.15, hy = 0.35, a = 0.345, w = 0.65, gamma = 0.09526
hx = 0.15, hy = 0.375, a = 0.345, w = 0.65, gamma = 0.09527
hx = 0.15, hy = 0.35, a = 0.346, w = 0.65, gamma = 0.09622
hx = 0.15, hy = 0.375, a = 0.346, w = 0.65, gamma = 0.09639
hx = 0.15, hy = 0.35, a = 0.347, w = 0.65, gamma = 0.09717
hx = 0.15, hy = 0.375, a = 0.347, w = 0.65, gamma = 0.09745
hx = 0.15, hy = 0.375, a = 0.348, w = 0.65, gamma = 0.0976
hx = 0.15, hy = 0.35, a = 0.349, w = 0.65, gamma = 0.09823
hx = 0.15, hy = 0.375, a = 0.349, w = 0.65, gamma = 0.09864
hx = 0.175, hy = 0.325, a = 0.35, w = 0.65, gamma = 0.09874
hx = 0.15, hy = 0.35, a = 0.35, w = 0.65, gamma = 0.09901
hx = 0.175, hy = 0.35, a = 0.35, w = 0.65, gamma = 0.09919
hx = 0.15, hy = 0.375, a = 0.35, w = 0.65, gamma = 0.09952
hx = 0.175, hy = 0.325, a = 0.351, w = 0.65, gamma = 0.09999
hx = 0.175, hy = 0.35, a = 0.351, w = 0.65, gamma = 0.10058
hx = 0.175, hy = 0.325, a = 0.352, w = 0.65, gamma = 0.10111
hx = 0.175, hy = 0.35, a = 0.352, w = 0.65, gamma = 0.10182
hx = 0.175, hy = 0.325, a = 0.353, w = 0.65, gamma = 0.10217
hx = 0.175, hy = 0.35, a = 0.353, w = 0.65, gamma = 0.103
hx = 0.175, hy = 0.325, a = 0.354, w = 0.65, gamma = 0.10318
hx = 0.175, hy = 0.35, a = 0.354, w = 0.65, gamma = 0.10414
hx = 0.175, hy = 0.325, a = 0.355, w = 0.65, gamma = 0.10427
hx = 0.175, hy = 0.35, a = 0.355, w = 0.65, gamma = 0.1053
hx = 0.175, hy = 0.375, a = 0.355, w = 0.65, gamma = 0.10536
hx = 0.175, hy = 0.35, a = 0.356, w = 0.65, gamma = 0.10628
hx = 0.175, hy = 0.375, a = 0.356, w = 0.65, gamma = 0.1065
hx = 0.175, hy = 0.35, a = 0.357, w = 0.65, gamma = 0.10726
hx = 0.175, hy = 0.375, a = 0.357, w = 0.65, gamma = 0.1076
hx = 0.175, hy = 0.35, a = 0.358, w = 0.65, gamma = 0.1082
hx = 0.175, hy = 0.375, a = 0.358, w = 0.65, gamma = 0.10866
hx = 0.175, hy = 0.35, a = 0.359, w = 0.65, gamma = 0.10908
hx = 0.175, hy = 0.375, a = 0.359, w = 0.65, gamma = 0.10964
hx = 0.175, hy = 0.35, a = 0.36, w = 0.65, gamma = 0.10993
hx = 0.175, hy = 0.375, a = 0.36, w = 0.65, gamma = 0.11064
hx = 0.175, hy = 0.35, a = 0.361, w = 0.65, gamma = 0.11074
hx = 0.175, hy = 0.375, a = 0.361, w = 0.65, gamma = 0.11158
hx = 0.175, hy = 0.35, a = 0.362, w = 0.65, gamma = 0.11162
hx = 0.175, hy = 0.375, a = 0.362, w = 0.65, gamma = 0.11257
hx = 0.175, hy = 0.375, a = 0.363, w = 0.65, gamma = 0.11345
hx = 0.175, hy = 0.4, a = 0.363, w = 0.65, gamma = 0.11353
hx = 0.175, hy = 0.375, a = 0.364, w = 0.65, gamma = 0.11423
hx = 0.175, hy = 0.4, a = 0.364, w = 0.65, gamma = 0.11445
hx = 0.175, hy = 0.375, a = 0.365, w = 0.65, gamma = 0.11497
hx = 0.175, hy = 0.4, a = 0.365, w = 0.65, gamma = 0.1153
hx = 0.175, hy = 0.375, a = 0.366, w = 0.65, gamma = 0.11566
hx = 0.175, hy = 0.4, a = 0.366, w = 0.65, gamma = 0.11609
hx = 0.175, hy = 0.375, a = 0.368, w = 0.65, gamma = 0.11641
hx = 0.2, hy = 0.375, a = 0.368, w = 0.65, gamma = 0.11651
hx = 0.175, hy = 0.4, a = 0.368, w = 0.65, gamma = 0.11696
hx = 0.175, hy = 0.375, a = 0.369, w = 0.65, gamma = 0.11698
hx = 0.2, hy = 0.375, a = 0.369, w = 0.65, gamma = 0.11763
hx = 0.175, hy = 0.4, a = 0.369, w = 0.65, gamma = 0.11764
hx = 0.2, hy = 0.35, a = 0.37, w = 0.65, gamma = 0.1178
hx = 0.2, hy = 0.375, a = 0.37, w = 0.65, gamma = 0.11872
hx = 0.2, hy = 0.35, a = 0.371, w = 0.65, gamma = 0.11872
hx = 0.2, hy = 0.375, a = 0.371, w = 0.65, gamma = 0.11975
hx = 0.2, hy = 0.375, a = 0.372, w = 0.65, gamma = 0.12071
hx = 0.2, hy = 0.4, a = 0.372, w = 0.65, gamma = 0.12073
hx = 0.2, hy = 0.375, a = 0.373, w = 0.65, gamma = 0.12161
hx = 0.2, hy = 0.4, a = 0.373, w = 0.65, gamma = 0.1217
hx = 0.2, hy = 0.375, a = 0.374, w = 0.65, gamma = 0.12246
hx = 0.2, hy = 0.4, a = 0.374, w = 0.65, gamma = 0.12266
hx = 0.2, hy = 0.375, a = 0.375, w = 0.65, gamma = 0.12335
hx = 0.2, hy = 0.4, a = 0.375, w = 0.65, gamma = 0.12362
hx = 0.2, hy = 0.375, a = 0.376, w = 0.65, gamma = 0.12419
hx = 0.2, hy = 0.4, a = 0.376, w = 0.65, gamma = 0.12453
hx = 0.2, hy = 0.375, a = 0.377, w = 0.65, gamma = 0.12492
hx = 0.2, hy = 0.4, a = 0.377, w = 0.65, gamma = 0.12534
hx = 0.2, hy = 0.375, a = 0.378, w = 0.65, gamma = 0.12562
hx = 0.2, hy = 0.4, a = 0.378, w = 0.65, gamma = 0.12613
hx = 0.2, hy = 0.375, a = 0.379, w = 0.65, gamma = 0.12628
hx = 0.2, hy = 0.4, a = 0.379, w = 0.65, gamma = 0.12688
hx = 0.2, hy = 0.375, a = 0.38, w = 0.65, gamma = 0.1269
hx = 0.2, hy = 0.4, a = 0.38, w = 0.65, gamma = 0.1276
hx = 0.2, hy = 0.4, a = 0.381, w = 0.65, gamma = 0.1283
hx = 0.2, hy = 0.4, a = 0.382, w = 0.65, gamma = 0.12897
hx = 0.2, hy = 0.4, a = 0.383, w = 0.65, gamma = 0.12975
hx = 0.2, hy = 0.4, a = 0.384, w = 0.65, gamma = 0.13031
hx = 0.2, hy = 0.425, a = 0.384, w = 0.65, gamma = 0.1304
hx = 0.2, hy = 0.4, a = 0.385, w = 0.65, gamma = 0.13085
