hx = 0.125, hy = 0.25, a = 0.316, w = 0.65, gamma = 0.05934
hx = 0.125, hy = 0.275, a = 0.316, w = 0.65, gamma = 0.0595
hx = 0.125, hy = 0.225, a = 0.317, w = 0.65, gamma = 0.0603
hx = 0.125, hy = 0.25, a = 0.317, w = 0.65, gamma = 0.06126
hx = 0.125, hy = 0.275, a = 0.317, w = 0.65, gamma = 0.06163
hx = 0.125, hy = 0.225, a = 0.318, w = 0.65, gamma = 0.06182
hx = 0.125, hy = 0.25, a = 0.318, w = 0.65, gamma = 0.06296
hx = 0.125, hy = 0.275, a = 0.318, w = 0.65, gamma = 0.06351
hx = 0.125, hy = 0.25, a = 0.319, w = 0.65, gamma = 0.06456
hx = 0.125, hy = 0.275, a = 0.319, w = 0.65, gamma = 0.06528
hx = 0.125, hy = 0.3, a = 0.319, w = 0.65, gamma = 0.06544
hx = 0.125, hy = 0.25, a = 0.32, w = 0.65, gamma = 0.06609
hx = 0.125, hy = 0.275, a = 0.32, w = 0.65, gamma = 0.06697
hx = 0.125, hy = 0.3, a = 0.32, w = 0.65, gamma = 0.06731
hx = 0.125, hy = 0.25, a = 0.321, w = 0.65, gamma = 0.06748
hx = 0.125, hy = 0.275, a = 0.321, w = 0.65, gamma = 0.0685
hx = 0.125, hy = 0.3, a = 0.321, w = 0.65, gamma = 0.06907
hx = 0.125, hy = 0.275, a = 0.322, w = 0.65, gamma = 0.06997
hx = 0.125, hy = 0.3, a = 0.322, w = 0.65, gamma = 0.07072
hx = 0.125, hy = 0.325, a = 0.322, w = 0.65, gamma = 0.07075
hx = 0.125, hy = 0.275, a = 0.323, w = 0.65, gamma = 0.07135
hx = 0.125, hy = 0.3, a = 0.323, w = 0.65, gamma = 0.07227
hx = 0.125, hy = 0.325, a = 0.323, w = 0.65, gamma = 0.07248
hx = 0.125, hy = 0.275, a = 0.324, w = 0.65, gamma = 0.07265
hx = 0.125, hy = 0.3, a = 0.324, w = 0.65, gamma = 0.07371
hx = 0.125, hy = 0.325, a = 0.324, w = 0.65, gamma = 0.07408
hx = 0.125, hy = 0.3, a = 0.325, w = 0.65, gamma = 0.07516
hx = 0.125, hy = 0.325, a = 0.325, w = 0.65, gamma = 0.07568
hx = 0.125, hy = 0.3, a = 0.326, w = 0.65, gamma = 0.07646
hx = 0.125, hy = 0.325, a = 0.326, w = 0.65, gamma = 0.07715
hx = 0.125, hy = 0.3, a = 0.327, w = 0.65, gamma = 0.07766
hx = 0.125, hy = 0.325, a = 0.327, w = 0.65, gamma = 0.07851
hx = 0.125, hy = 0.35, a = 0.327, w = 0.65, gamma = 0.07855
hx = 0.125, hy = 0.3, a = 0.328, w = 0.65, gamma = 0.07878
hx = 0.15, hy = 0.3, a = 0.328, w = 0.65, gamma = 0.07884
hx = 0.125, hy = 0.325, a = 0.328, w = 0.65, gamma = 0.07978
hx = 0.125, hy = 0.35, a = 0.328, w = 0.65, gamma = 0.07997
hx = 0.125, hy = 0.325, a = 0.329, w = 0.65, gamma = 0.08027
hx = 0.125, hy = 0.35, a = 0.329, w = 0.65, gamma = 0.08054
hx = 0.15, hy = 0.3, a = 0.33, w = 0.65, gamma = 0.08136
hx = 0.125, hy = 0.325, a = 0.33, w = 0.65, gamma = 0.08141
hx = 0.15, hy = 0.325, a = 0.33, w = 0.65, gamma = 0.08154
hx = 0.125, hy = 0.35, a = 0.33, w = 0.65, gamma = 0.08182
hx = 0.15, hy = 0.275, a = 0.331, w = 0.65, gamma = 0.08202
hx = 0.15, hy = 0.3, a = 0.331, w = 0.65, gamma = 0.08307
hx = 0.15, hy = 0.325, a = 0.331, w = 0.65, gamma = 0.08342
hx = 0.15, hy = 0.3, a = 0.332, w = 0.65, gamma = 0.08458
hx = 0.15, hy = 0.325, a = 0.332, w = 0.65, gamma = 0.0851
hx = 0.15, hy = 0.3, a = 0.333, w = 0.65, gamma = 0.086
hx = 0.15, hy = 0.325, a = 0.333, w = 0.65, gamma = 0.08669
hx = 0.15, hy = 0.3, a = 0.334, w = 0.65, gamma = 0.08728
hx = 0.15, hy = 0.325, a = 0.334, w = 0.65, gamma = 0.08811
hx = 0.15, hy = 0.35, a = 0.334, w = 0.65, gamma = 0.08812
hx = 0.15, hy = 0.3, a = 0.335, w = 0.65, gamma = 0.08848
hx = 0.15, hy = 0.325, a = 0.335, w = 0.65, gamma = 0.08944
hx = 0.15, hy = 0.35, a = 0.335, w = 0.65, gamma = 0.08961
hx = 0.15, hy = 0.325, a = 0.336, w = 0.65, gamma = 0.09071
hx = 0.15, hy = 0.35, a = 0.336, w = 0.65, gamma = 0.09105
hx = 0.15, hy = 0.325, a = 0.337, w = 0.65, gamma = 0.09197
hx = 0.15, hy = 0.35, a = 0.337, w = 0.65, gamma = 0.09245
hx = 0.15, hy = 0.325, a = 0.338, w = 0.65, gamma = 0.09311
hx = 0.15, hy = 0.35, a = 0.338, w = 0.65, gamma = 0.09373
hx = 0.15, hy = 0.325, a = 0.339, w = 0.65, gamma = 0.09417
hx = 0.15, hy = 0.35, a = 0.339, w = 0.65, gamma = 0.09497
hx = 0.15, hy = 0.325, a = 0.34, w = 0.65, gamma = 0.09517
hx = 0.15, hy = 0.35, a = 0.34, w = 0.65, gamma = 0.09614
hx = 0.15, hy = 0.375, a = 0.34, w = 0.65, gamma = 0.0962
hx = 0.15, hy = 0.35, a = 0.341, w = 0.65, gamma = 0.09726
hx = 0.15, hy = 0.375, a = 0.341, w = 0.65, gamma = 0.09744
hx = 0.15, hy = 0.35, a = 0.342, w = 0.65, gamma = 0.09831
hx = 0.15, hy = 0.375, a = 0.342, w = 0.65, gamma = 0.09862
hx = 0.15, hy = 0.35, a = 0.343, w = 0.65, gamma = 0.09939
hx = 0.15, hy = 0.375, a = 0.343, w = 0.65, gamma = 0.09981
hx = 0.15, hy = 0.35, a = 0.344, w = 0.65, gamma = 0.10032
hx = 0.15, hy = 0.375, a = 0.344, w = 0.65, gamma = 0.10087
hx = 0.15, hy = 0.375, a = 0.345, w = 0.65, gamma = 0.10128
hx = 0.15, hy = 0.35, a = 0.346, w = 0.65, gamma = 0.10145
hx = 0.15, hy = 0.375, a = 0.346, w = 0.65, gamma = 0.10219
hx = 0.15, hy = 0.35, a = 0.347, w = 0.65, gamma = 0.10223
hx = 0.175, hy = 0.35, a = 0.347, w = 0.65, gamma = 0.10285
hx = 0.15, hy = 0.375, a = 0.347, w = 0.65, gamma = 0.1031
hx = 0.175, hy = 0.325, a = 0.348, w = 0.65, gamma = 0.10331
hx = 0.175, hy = 0.35, a = 0.348, w = 0.65, gamma = 0.10426
hx = 0.175, hy = 0.325, a = 0.349, w = 0.65, gamma = 0.10463
hx = 0.175, hy = 0.35, a = 0.349, w = 0.65, gamma = 0.10572
hx = 0.175, hy = 0.375, a = 0.349, w = 0.65, gamma = 0.10584
hx = 0.175, hy = 0.35, a = 0.35, w = 0.65, gamma = 0.10696
hx = 0.175, hy = 0.375, a = 0.35, w = 0.65, gamma = 0.10723
hx = 0.175, hy = 0.35, a = 0.351, w = 0.65, gamma = 0.10815
hx = 0.175, hy = 0.375, a = 0.351, w = 0.65, gamma = 0.10856
hx = 0.175, hy = 0.35, a = 0.352, w = 0.65, gamma = 0.10923
hx = 0.175, hy = 0.375, a = 0.352, w = 0.65, gamma = 0.10977
hx = 0.175, hy = 0.35, a = 0.353, w = 0.65, gamma = 0.11025
hx = 0.175, hy = 0.375, a = 0.353, w = 0.65, gamma = 0.11089
hx = 0.175, hy = 0.35, a = 0.354, w = 0.65, gamma = 0.11123
hx = 0.175, hy = 0.375, a = 0.354, w = 0.65, gamma = 0.11201
hx = 0.175, hy = 0.35, a = 0.355, w = 0.65, gamma = 0.11215
hx = 0.175, hy = 0.375, a = 0.355, w = 0.65, gamma = 0.113
hx = 0.175, hy = 0.375, a = 0.356, w = 0.65, gamma = 0.11386
hx = 0.175, hy = 0.4, a = 0.356, w = 0.65, gamma = 0.11391
hx = 0.175, hy = 0.375, a = 0.357, w = 0.65, gamma = 0.1147
hx = 0.175, hy = 0.4, a = 0.357, w = 0.65, gamma = 0.1149
hx = 0.175, hy = 0.375, a = 0.358, w = 0.65, gamma = 0.11549
hx = 0.175, hy = 0.4, a = 0.358, w = 0.65, gamma = 0.11581
hx = 0.175, hy = 0.375, a = 0.359, w = 0.65, gamma = 0.11624
hx = 0.175, hy = 0.4, a = 0.359, w = 0.65, gamma = 0.11669
hx = 0.175, hy = 0.375, a = 0.36, w = 0.65, gamma = 0.11701
hx = 0.175, hy = 0.4, a = 0.36, w = 0.65, gamma = 0.11753
hx = 0.175, hy = 0.375, a = 0.361, w = 0.65, gamma = 0.1177
hx = 0.175, hy = 0.4, a = 0.361, w = 0.65, gamma = 0.11833
hx = 0.175, hy = 0.375, a = 0.362, w = 0.65, gamma = 0.11849
hx = 0.175, hy = 0.4, a = 0.362, w = 0.65, gamma = 0.11919
hx = 0.175, hy = 0.4, a = 0.363, w = 0.65, gamma = 0.11986
hx = 0.2, hy = 0.375, a = 0.365, w = 0.65, gamma = 0.12022
hx = 0.175, hy = 0.4, a = 0.365, w = 0.65, gamma = 0.12045
hx = 0.2, hy = 0.375, a = 0.366, w = 0.65, gamma = 0.12128
hx = 0.2, hy = 0.4, a = 0.366, w = 0.65, gamma = 0.1213
hx = 0.2, hy = 0.375, a = 0.367, w = 0.65, gamma = 0.12231
hx = 0.2, hy = 0.4, a = 0.367, w = 0.65, gamma = 0.1225
hx = 0.2, hy = 0.375, a = 0.368, w = 0.65, gamma = 0.1235
hx = 0.2, hy = 0.4, a = 0.368, w = 0.65, gamma = 0.12375
hx = 0.2, hy = 0.375, a = 0.369, w = 0.65, gamma = 0.12437
hx = 0.2, hy = 0.4, a = 0.369, w = 0.65, gamma = 0.12478
hx = 0.2, hy = 0.375, a = 0.37, w = 0.65, gamma = 0.12521
hx = 0.2, hy = 0.4, a = 0.37, w = 0.65, gamma = 0.12572
hx = 0.2, hy = 0.375, a = 0.371, w = 0.65, gamma = 0.12602
hx = 0.2, hy = 0.4, a = 0.371, w = 0.65, gamma = 0.12665
hx = 0.2, hy = 0.375, a = 0.372, w = 0.65, gamma = 0.12676
hx = 0.2, hy = 0.4, a = 0.372, w = 0.65, gamma = 0.12749
hx = 0.2, hy = 0.4, a = 0.373, w = 0.65, gamma = 0.12824
hx = 0.2, hy = 0.4, a = 0.374, w = 0.65, gamma = 0.129
hx = 0.2, hy = 0.4, a = 0.375, w = 0.65, gamma = 0.12978
hx = 0.2, hy = 0.4, a = 0.376, w = 0.65, gamma = 0.13052
hx = 0.2, hy = 0.4, a = 0.377, w = 0.65, gamma = 0.13113
hx = 0.2, hy = 0.425, a = 0.377, w = 0.65, gamma = 0.13117
hx = 0.2, hy = 0.4, a = 0.378, w = 0.65, gamma = 0.13173
hx = 0.2, hy = 0.425, a = 0.378, w = 0.65, gamma = 0.13188
hx = 0.2, hy = 0.4, a = 0.379, w = 0.65, gamma = 0.13229
hx = 0.2, hy = 0.425, a = 0.379, w = 0.65, gamma = 0.13257
hx = 0.2, hy = 0.4, a = 0.38, w = 0.65, gamma = 0.13281
hx = 0.2, hy = 0.425, a = 0.38, w = 0.65, gamma = 0.13322
hx = 0.2, hy = 0.4, a = 0.381, w = 0.65, gamma = 0.13334
hx = 0.2, hy = 0.425, a = 0.381, w = 0.65, gamma = 0.13382
hx = 0.2, hy = 0.4, a = 0.382, w = 0.65, gamma = 0.13382
hx = 0.2, hy = 0.425, a = 0.382, w = 0.65, gamma = 0.13436
hx = 0.2, hy = 0.4, a = 0.383, w = 0.65, gamma = 0.13446
hx = 0.225, hy = 0.4, a = 0.383, w = 0.65, gamma = 0.13464
hx = 0.2, hy = 0.425, a = 0.383, w = 0.65, gamma = 0.13507
hx = 0.225, hy = 0.4, a = 0.385, w = 0.65, gamma = 0.13559
hx = 0.225, hy = 0.375, a = 0.386, w = 0.65, gamma = 0.1356
hx = 0.225, hy = 0.4, a = 0.386, w = 0.65, gamma = 0.13653
hx = 0.225, hy = 0.4, a = 0.387, w = 0.65, gamma = 0.13743
hx = 0.225, hy = 0.4, a = 0.388, w = 0.65, gamma = 0.13829
hx = 0.225, hy = 0.425, a = 0.388, w = 0.65, gamma = 0.13834
hx = 0.225, hy = 0.4, a = 0.389, w = 0.65, gamma = 0.1391
hx = 0.225, hy = 0.425, a = 0.389, w = 0.65, gamma = 0.13926
hx = 0.225, hy = 0.4, a = 0.39, w = 0.65, gamma = 0.14013
hx = 0.225, hy = 0.425, a = 0.39, w = 0.65, gamma = 0.14036
hx = 0.225, hy = 0.4, a = 0.391, w = 0.65, gamma = 0.14084
