hx = 0.05, hy = 0.1, a = 0.318, w = 0.65, gamma = 0.00561
hx = 0.05, hy = 0.1, a = 0.319, w = 0.65, gamma = 0.00955
hx = 0.05, hy = 0.125, a = 0.319, w = 0.65, gamma = 0.01002
hx = 0.05, hy = 0.15, a = 0.319, w = 0.65, gamma = 0.01005
hx = 0.05, hy = 0.1, a = 0.32, w = 0.65, gamma = 0.01195
hx = 0.075, hy = 0.1, a = 0.32, w = 0.65, gamma = 0.01351
hx = 0.075, hy = 0.125, a = 0.32, w = 0.65, gamma = 0.01379
hx = 0.075, hy = 0.1, a = 0.321, w = 0.65, gamma = 0.01649
hx = 0.075, hy = 0.125, a = 0.321, w = 0.65, gamma = 0.0172
hx = 0.075, hy = 0.15, a = 0.321, w = 0.65, gamma = 0.0175
hx = 0.075, hy = 0.1, a = 0.322, w = 0.65, gamma = 0.01881
hx = 0.1, hy = 0.1, a = 0.322, w = 0.65, gamma = 0.01891
hx = 0.075, hy = 0.125, a = 0.322, w = 0.65, gamma = 0.01983
hx = 0.075, hy = 0.15, a = 0.322, w = 0.65, gamma = 0.02048
hx = 0.075, hy = 0.175, a = 0.322, w = 0.65, gamma = 0.02072
hx = 0.1, hy = 0.1, a = 0.323, w = 0.65, gamma = 0.02197
hx = 0.075, hy = 0.125, a = 0.323, w = 0.65, gamma = 0.02199
hx = 0.1, hy = 0.125, a = 0.323, w = 0.65, gamma = 0.02245
hx = 0.075, hy = 0.15, a = 0.323, w = 0.65, gamma = 0.02291
hx = 0.075, hy = 0.175, a = 0.323, w = 0.65, gamma = 0.02345
hx = 0.075, hy = 0.2, a = 0.323, w = 0.65, gamma = 0.02365
hx = 0.1, hy = 0.1, a = 0.324, w = 0.65, gamma = 0.02447
hx = 0.1, hy = 0.125, a = 0.324, w = 0.65, gamma = 0.02531
hx = 0.1, hy = 0.15, a = 0.324, w = 0.65, gamma = 0.0257
hx = 0.075, hy = 0.175, a = 0.324, w = 0.65, gamma = 0.02572
hx = 0.075, hy = 0.2, a = 0.324, w = 0.65, gamma = 0.02621
hx = 0.1, hy = 0.1, a = 0.325, w = 0.65, gamma = 0.02662
hx = 0.1, hy = 0.125, a = 0.325, w = 0.65, gamma = 0.02776
hx = 0.1, hy = 0.15, a = 0.325, w = 0.65, gamma = 0.02847
hx = 0.1, hy = 0.175, a = 0.325, w = 0.65, gamma = 0.02877
hx = 0.1, hy = 0.125, a = 0.326, w = 0.65, gamma = 0.02989
hx = 0.1, hy = 0.15, a = 0.326, w = 0.65, gamma = 0.03087
hx = 0.1, hy = 0.175, a = 0.326, w = 0.65, gamma = 0.03149
hx = 0.1, hy = 0.2, a = 0.326, w = 0.65, gamma = 0.03167
hx = 0.1, hy = 0.125, a = 0.327, w = 0.65, gamma = 0.03175
hx = 0.1, hy = 0.15, a = 0.327, w = 0.65, gamma = 0.03298
hx = 0.1, hy = 0.175, a = 0.327, w = 0.65, gamma = 0.03387
hx = 0.1, hy = 0.2, a = 0.327, w = 0.65, gamma = 0.03434
hx = 0.1, hy = 0.15, a = 0.328, w = 0.65, gamma = 0.03483
hx = 0.1, hy = 0.175, a = 0.328, w = 0.65, gamma = 0.03598
hx = 0.1, hy = 0.2, a = 0.328, w = 0.65, gamma = 0.0367
hx = 0.1, hy = 0.225, a = 0.328, w = 0.65, gamma = 0.03688
hx = 0.1, hy = 0.175, a = 0.329, w = 0.65, gamma = 0.03787
hx = 0.1, hy = 0.2, a = 0.329, w = 0.65, gamma = 0.03883
hx = 0.1, hy = 0.225, a = 0.329, w = 0.65, gamma = 0.03926
hx = 0.1, hy = 0.175, a = 0.33, w = 0.65, gamma = 0.03955
hx = 0.125, hy = 0.175, a = 0.33, w = 0.65, gamma = 0.03963
hx = 0.1, hy = 0.2, a = 0.33, w = 0.65, gamma = 0.04072
hx = 0.1, hy = 0.225, a = 0.33, w = 0.65, gamma = 0.04137
hx = 0.1, hy = 0.25, a = 0.33, w = 0.65, gamma = 0.04142
hx = 0.125, hy = 0.175, a = 0.331, w = 0.65, gamma = 0.04203
hx = 0.1, hy = 0.2, a = 0.331, w = 0.65, gamma = 0.04247
hx = 0.1, hy = 0.225, a = 0.331, w = 0.65, gamma = 0.0433
hx = 0.1, hy = 0.25, a = 0.331, w = 0.65, gamma = 0.04357
hx = 0.125, hy = 0.175, a = 0.332, w = 0.65, gamma = 0.04418
hx = 0.125, hy = 0.2, a = 0.332, w = 0.65, gamma = 0.04481
hx = 0.1, hy = 0.225, a = 0.332, w = 0.65, gamma = 0.04502
hx = 0.1, hy = 0.25, a = 0.332, w = 0.65, gamma = 0.04548
hx = 0.1, hy = 0.275, a = 0.332, w = 0.65, gamma = 0.04551
hx = 0.125, hy = 0.175, a = 0.333, w = 0.65, gamma = 0.04613
hx = 0.125, hy = 0.2, a = 0.333, w = 0.65, gamma = 0.047
hx = 0.125, hy = 0.225, a = 0.333, w = 0.65, gamma = 0.04731
hx = 0.1, hy = 0.275, a = 0.333, w = 0.65, gamma = 0.04747
hx = 0.125, hy = 0.175, a = 0.334, w = 0.65, gamma = 0.04784
hx = 0.125, hy = 0.2, a = 0.334, w = 0.65, gamma = 0.04891
hx = 0.125, hy = 0.225, a = 0.334, w = 0.65, gamma = 0.04943
hx = 0.125, hy = 0.2, a = 0.335, w = 0.65, gamma = 0.05064
hx = 0.125, hy = 0.225, a = 0.335, w = 0.65, gamma = 0.05136
hx = 0.125, hy = 0.25, a = 0.335, w = 0.65, gamma = 0.05154
hx = 0.125, hy = 0.225, a = 0.336, w = 0.65, gamma = 0.05193
hx = 0.125, hy = 0.25, a = 0.336, w = 0.65, gamma = 0.05218
hx = 0.125, hy = 0.2, a = 0.337, w = 0.65, gamma = 0.0527
hx = 0.125, hy = 0.225, a = 0.337, w = 0.65, gamma = 0.05366
hx = 0.125, hy = 0.25, a = 0.337, w = 0.65, gamma = 0.05411
hx = 0.125, hy = 0.2, a = 0.338, w = 0.65, gamma = 0.05415
hx = 0.125, hy = 0.225, a = 0.338, w = 0.65, gamma = 0.05528
hx = 0.125, hy = 0.25, a = 0.338, w = 0.65, gamma = 0.05592
hx = 0.125, hy = 0.275, a = 0.338, w = 0.65, gamma = 0.05605
hx = 0.125, hy = 0.225, a = 0.339, w = 0.65, gamma = 0.05678
hx = 0.125, hy = 0.25, a = 0.339, w = 0.65, gamma = 0.05762
hx = 0.125, hy = 0.275, a = 0.339, w = 0.65, gamma = 0.05793
hx = 0.125, hy = 0.225, a = 0.34, w = 0.65, gamma = 0.05819
hx = 0.125, hy = 0.25, a = 0.34, w = 0.65, gamma = 0.05921
hx = 0.125, hy = 0.275, a = 0.34, w = 0.65, gamma = 0.0597
hx = 0.125, hy = 0.25, a = 0.341, w = 0.65, gamma = 0.06069
hx = 0.125, hy = 0.275, a = 0.341, w = 0.65, gamma = 0.06136
hx = 0.125, hy = 0.25, a = 0.342, w = 0.65, gamma = 0.06207
hx = 0.125, hy = 0.275, a = 0.342, w = 0.65, gamma = 0.06291
hx = 0.125, hy = 0.3, a = 0.342, w = 0.65, gamma = 0.06304
hx = 0.125, hy = 0.25, a = 0.343, w = 0.65, gamma = 0.06341
hx = 0.125, hy = 0.275, a = 0.343, w = 0.65, gamma = 0.06439
hx = 0.125, hy = 0.3, a = 0.343, w = 0.65, gamma = 0.06468
hx = 0.125, hy = 0.275, a = 0.344, w = 0.65, gamma = 0.06574
hx = 0.125, hy = 0.3, a = 0.344, w = 0.65, gamma = 0.06619
hx = 0.15, hy = 0.25, a = 0.345, w = 0.65, gamma = 0.06631
hx = 0.125, hy = 0.275, a = 0.345, w = 0.65, gamma = 0.067
hx = 0.125, hy = 0.3, a = 0.345, w = 0.65, gamma = 0.06759
hx = 0.15, hy = 0.25, a = 0.346, w = 0.65, gamma = 0.06793
hx = 0.125, hy = 0.275, a = 0.346, w = 0.65, gamma = 0.06807
hx = 0.15, hy = 0.275, a = 0.346, w = 0.65, gamma = 0.06837
hx = 0.125, hy = 0.3, a = 0.346, w = 0.65, gamma = 0.06882
hx = 0.125, hy = 0.325, a = 0.346, w = 0.65, gamma = 0.06889
hx = 0.15, hy = 0.25, a = 0.347, w = 0.65, gamma = 0.06935
hx = 0.15, hy = 0.275, a = 0.347, w = 0.65, gamma = 0.06996
hx = 0.125, hy = 0.325, a = 0.347, w = 0.65, gamma = 0.07016
hx = 0.15, hy = 0.25, a = 0.348, w = 0.65, gamma = 0.07068
hx = 0.15, hy = 0.275, a = 0.348, w = 0.65, gamma = 0.07145
hx = 0.15, hy = 0.3, a = 0.348, w = 0.65, gamma = 0.07149
hx = 0.15, hy = 0.25, a = 0.349, w = 0.65, gamma = 0.07202
hx = 0.15, hy = 0.275, a = 0.349, w = 0.65, gamma = 0.07289
hx = 0.15, hy = 0.3, a = 0.349, w = 0.65, gamma = 0.07313
hx = 0.15, hy = 0.25, a = 0.35, w = 0.65, gamma = 0.0732
hx = 0.15, hy = 0.275, a = 0.35, w = 0.65, gamma = 0.07424
hx = 0.15, hy = 0.3, a = 0.35, w = 0.65, gamma = 0.07465
hx = 0.15, hy = 0.275, a = 0.351, w = 0.65, gamma = 0.07546
hx = 0.15, hy = 0.3, a = 0.351, w = 0.65, gamma = 0.076
hx = 0.15, hy = 0.275, a = 0.352, w = 0.65, gamma = 0.07658
hx = 0.15, hy = 0.3, a = 0.352, w = 0.65, gamma = 0.07724
hx = 0.15, hy = 0.325, a = 0.352, w = 0.65, gamma = 0.07734
hx = 0.15, hy = 0.275, a = 0.353, w = 0.65, gamma = 0.07763
hx = 0.15, hy = 0.3, a = 0.353, w = 0.65, gamma = 0.07842
hx = 0.15, hy = 0.325, a = 0.353, w = 0.65, gamma = 0.07866
hx = 0.15, hy = 0.3, a = 0.354, w = 0.65, gamma = 0.07949
hx = 0.15, hy = 0.325, a = 0.354, w = 0.65, gamma = 0.07986
hx = 0.15, hy = 0.3, a = 0.355, w = 0.65, gamma = 0.0806
hx = 0.15, hy = 0.325, a = 0.355, w = 0.65, gamma = 0.08104
hx = 0.15, hy = 0.3, a = 0.356, w = 0.65, gamma = 0.08161
hx = 0.15, hy = 0.325, a = 0.356, w = 0.65, gamma = 0.08215
hx = 0.15, hy = 0.3, a = 0.358, w = 0.65, gamma = 0.08235
hx = 0.15, hy = 0.325, a = 0.358, w = 0.65, gamma = 0.08302
hx = 0.15, hy = 0.3, a = 0.359, w = 0.65, gamma = 0.08328
hx = 0.15, hy = 0.325, a = 0.359, w = 0.65, gamma = 0.08405
hx = 0.15, hy = 0.3, a = 0.36, w = 0.65, gamma = 0.08412
hx = 0.15, hy = 0.325, a = 0.36, w = 0.65, gamma = 0.08505
hx = 0.15, hy = 0.35, a = 0.36, w = 0.65, gamma = 0.08508
hx = 0.175, hy = 0.3, a = 0.361, w = 0.65, gamma = 0.08513
hx = 0.15, hy = 0.325, a = 0.361, w = 0.65, gamma = 0.086
hx = 0.15, hy = 0.35, a = 0.361, w = 0.65, gamma = 0.08613
hx = 0.175, hy = 0.3, a = 0.362, w = 0.65, gamma = 0.08654
hx = 0.15, hy = 0.325, a = 0.362, w = 0.65, gamma = 0.08695
hx = 0.15, hy = 0.35, a = 0.362, w = 0.65, gamma = 0.08718
hx = 0.175, hy = 0.3, a = 0.363, w = 0.65, gamma = 0.08781
hx = 0.175, hy = 0.325, a = 0.363, w = 0.65, gamma = 0.08808
hx = 0.15, hy = 0.35, a = 0.363, w = 0.65, gamma = 0.08812
hx = 0.175, hy = 0.3, a = 0.364, w = 0.65, gamma = 0.08904
hx = 0.175, hy = 0.325, a = 0.364, w = 0.65, gamma = 0.08941
hx = 0.175, hy = 0.3, a = 0.365, w = 0.65, gamma = 0.09019
hx = 0.175, hy = 0.325, a = 0.365, w = 0.65, gamma = 0.09071
hx = 0.175, hy = 0.3, a = 0.366, w = 0.65, gamma = 0.09136
hx = 0.175, hy = 0.325, a = 0.366, w = 0.65, gamma = 0.09203
hx = 0.175, hy = 0.3, a = 0.367, w = 0.65, gamma = 0.09239
hx = 0.175, hy = 0.325, a = 0.367, w = 0.65, gamma = 0.0932
hx = 0.175, hy = 0.3, a = 0.368, w = 0.65, gamma = 0.09352
hx = 0.175, hy = 0.325, a = 0.368, w = 0.65, gamma = 0.09444
hx = 0.175, hy = 0.35, a = 0.368, w = 0.65, gamma = 0.09445
hx = 0.175, hy = 0.325, a = 0.369, w = 0.65, gamma = 0.09543
hx = 0.175, hy = 0.35, a = 0.369, w = 0.65, gamma = 0.09564
hx = 0.175, hy = 0.325, a = 0.37, w = 0.65, gamma = 0.09641
hx = 0.175, hy = 0.35, a = 0.37, w = 0.65, gamma = 0.09677
hx = 0.175, hy = 0.325, a = 0.371, w = 0.65, gamma = 0.09735
hx = 0.175, hy = 0.35, a = 0.371, w = 0.65, gamma = 0.09783
hx = 0.175, hy = 0.325, a = 0.372, w = 0.65, gamma = 0.09821
hx = 0.175, hy = 0.35, a = 0.372, w = 0.65, gamma = 0.0988
hx = 0.175, hy = 0.325, a = 0.373, w = 0.65, gamma = 0.09901
hx = 0.175, hy = 0.35, a = 0.373, w = 0.65, gamma = 0.09971
hx = 0.175, hy = 0.325, a = 0.374, w = 0.65, gamma = 0.09977
hx = 0.175, hy = 0.35, a = 0.374, w = 0.65, gamma = 0.10059
hx = 0.175, hy = 0.35, a = 0.375, w = 0.65, gamma = 0.10147
hx = 0.175, hy = 0.375, a = 0.375, w = 0.65, gamma = 0.10151
hx = 0.175, hy = 0.35, a = 0.376, w = 0.65, gamma = 0.1023
hx = 0.175, hy = 0.375, a = 0.376, w = 0.65, gamma = 0.10243
hx = 0.175, hy = 0.35, a = 0.377, w = 0.65, gamma = 0.10304
hx = 0.175, hy = 0.375, a = 0.377, w = 0.65, gamma = 0.10326
hx = 0.175, hy = 0.35, a = 0.378, w = 0.65, gamma = 0.10375
hx = 0.175, hy = 0.375, a = 0.378, w = 0.65, gamma = 0.10406
hx = 0.175, hy = 0.35, a = 0.379, w = 0.65, gamma = 0.1044
hx = 0.175, hy = 0.375, a = 0.379, w = 0.65, gamma = 0.10483
hx = 0.175, hy = 0.375, a = 0.381, w = 0.65, gamma = 0.1052
hx = 0.175, hy = 0.35, a = 0.382, w = 0.65, gamma = 0.10526
hx = 0.2, hy = 0.35, a = 0.382, w = 0.65, gamma = 0.10583
hx = 0.175, hy = 0.375, a = 0.382, w = 0.65, gamma = 0.10586
