wvg_height = 0.19 , mode = yO, SUBSRATE = True
hx = 0.125, hy = 0.175, a = 0.327, w = 0.65, freqs = [193.46103483 219.49876732], gamma = 0.04191
hx = 0.1, hy = 0.2, a = 0.327, w = 0.65, freqs = [192.69240444 215.22979951], gamma = 0.04247
hx = 0.1, hy = 0.225, a = 0.327, w = 0.65, freqs = [192.8919727  217.31776539], gamma = 0.04345
hx = 0.1, hy = 0.25, a = 0.327, w = 0.65, freqs = [193.11665314 219.27714184], gamma = 0.04389
hx = 0.125, hy = 0.175, a = 0.328, w = 0.65, freqs = [193.04735275 218.95339731], gamma = 0.04403
hx = 0.125, hy = 0.2, a = 0.328, w = 0.65, freqs = [193.27283691 221.52375665], gamma = 0.04477
hx = 0.1, hy = 0.225, a = 0.328, w = 0.65, freqs = [192.48827341 216.75857953], gamma = 0.04514
hx = 0.1, hy = 0.25, a = 0.328, w = 0.65, freqs = [192.71380856 218.71203966], gamma = 0.04578
hx = 0.1, hy = 0.275, a = 0.328, w = 0.65, freqs = [192.9836659  220.68074895], gamma = 0.04592
hx = 0.125, hy = 0.175, a = 0.329, w = 0.65, freqs = [192.63287079 218.41795244], gamma = 0.04597
hx = 0.125, hy = 0.2, a = 0.329, w = 0.65, freqs = [192.85588471 220.96576494], gamma = 0.04695
hx = 0.125, hy = 0.225, a = 0.329, w = 0.65, freqs = [193.10900776 223.50648976], gamma = 0.0474
hx = 0.1, hy = 0.25, a = 0.329, w = 0.65, freqs = [192.30491337 218.06373138], gamma = 0.04745
hx = 0.1, hy = 0.275, a = 0.329, w = 0.65, freqs = [192.57735157 220.1041268 ], gamma = 0.04786
hx = 0.125, hy = 0.2, a = 0.33, w = 0.65, freqs = [192.43672137 220.40570136], gamma = 0.04895
hx = 0.125, hy = 0.225, a = 0.33, w = 0.65, freqs = [192.6873148  222.92302955], gamma = 0.04964
hx = 0.125, hy = 0.25, a = 0.33, w = 0.65, freqs = [192.96995116 225.3830515 ], gamma = 0.04975
hx = 0.125, hy = 0.2, a = 0.331, w = 0.65, freqs = [192.04521939 219.96697281], gamma = 0.05075
hx = 0.125, hy = 0.225, a = 0.331, w = 0.65, freqs = [192.29341396 222.4686194 ], gamma = 0.05164
hx = 0.125, hy = 0.25, a = 0.331, w = 0.65, freqs = [192.57557614 224.89091799], gamma = 0.05194
hx = 0.125, hy = 0.2, a = 0.332, w = 0.65, freqs = [191.63386436 219.40162572], gamma = 0.05239
hx = 0.125, hy = 0.225, a = 0.332, w = 0.65, freqs = [191.88347319 221.89135202], gamma = 0.05348
hx = 0.125, hy = 0.25, a = 0.332, w = 0.65, freqs = [192.16069284 224.2914209 ], gamma = 0.05401
hx = 0.125, hy = 0.275, a = 0.332, w = 0.65, freqs = [192.47796111 226.88359371], gamma = 0.05413
hx = 0.125, hy = 0.225, a = 0.333, w = 0.65, freqs = [191.47276103 221.30823723], gamma = 0.05517
hx = 0.125, hy = 0.25, a = 0.333, w = 0.65, freqs = [191.74695494 223.70962224], gamma = 0.05592
hx = 0.125, hy = 0.275, a = 0.333, w = 0.65, freqs = [192.06174746 226.26496187], gamma = 0.05626
hx = 0.125, hy = 0.225, a = 0.334, w = 0.65, freqs = [191.06994366 220.75489886], gamma = 0.05672
hx = 0.125, hy = 0.25, a = 0.334, w = 0.65, freqs = [191.34082637 223.13072853], gamma = 0.05766
hx = 0.125, hy = 0.275, a = 0.334, w = 0.65, freqs = [191.65379902 225.67567937], gamma = 0.0582
hx = 0.125, hy = 0.25, a = 0.335, w = 0.65, freqs = [190.96068833 222.61837715], gamma = 0.05919
